PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
78596,1972-73,00,1610612752,NYK,25.0,13,,59,9,22,0.409,,,,2,6,0.333,,,16,1,,,,9,20
78596,1973-74,00,1610612752,NYK,26.0,60,,536,82,172,0.477,,,,48,76,0.632,72,94,166,25,7,14,,85,212
78596,1974-75,00,1610612752,NYK,27.0,82,,1686,233,506,0.46,,,,141,187,0.754,163,293,456,84,48,35,,215,607
78596,1975-76,00,1610612752,NYK,28.0,57,,533,72,163,0.442,,,,40,60,0.667,46,61,107,18,19,8,,59,184
