PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
78151,1964-65,00,1610612737,STL,21.0,79,,1243,140,375,0.373,,,,83,164,0.506,,,576,48,,,,161,363
78151,1965-66,00,1610612737,STL,22.0,46,,586,70,173,0.405,,,,35,61,0.574,,,236,22,,,,72,175
78151,1966-67,00,1610612737,STL,23.0,77,,1570,207,482,0.429,,,,113,213,0.531,,,669,74,,,,208,527
78151,1967-68,00,1610612737,STL,24.0,82,,2652,399,871,0.458,,,,299,424,0.705,,,958,162,,,,243,1097
78151,1968-69,00,1610612737,ATL,25.0,79,,1853,241,575,0.419,,,,204,333,0.613,,,745,140,,,,166,686
78151,1969-70,00,1610612756,PHX,26.0,78,,2836,373,804,0.464,,,,250,412,0.607,,,916,214,,,,266,996
78151,1970-71,00,1610612756,PHX,27.0,81,,2944,338,789,0.428,,,,285,416,0.685,,,1015,247,,,,227,961
78151,1971-72,00,1610612756,PHX,28.0,80,,3082,485,1031,0.47,,,,433,560,0.773,,,955,343,,,,201,1403
78151,1972-73,00,1610612738,BOS,29.0,80,,2618,400,851,0.47,,,,266,380,0.7,,,1039,251,,,,197,1066
78151,1973-74,00,1610612738,BOS,30.0,82,,2599,340,772,0.44,,,,264,337,0.783,334,581,915,186,63,20,,246,944
78151,1974-75,00,1610612738,BOS,31.0,82,,2661,312,749,0.417,,,,244,344,0.709,348,677,1025,224,60,22,,229,868
78151,1975-76,00,1610612738,BOS,32.0,81,,2662,315,740,0.426,,,,236,333,0.709,365,660,1025,203,56,33,,227,866
78151,1976-77,00,1610612743,DEN,33.0,81,,1959,206,572,0.36,,,,170,255,0.667,236,370,606,132,58,23,,183,582
78151,1977-78,00,1610612760,SEA,34.0,82,,2172,184,464,0.397,,,,109,186,0.586,289,377,666,145,65,16,152,182,477
78151,1978-79,00,1610612760,SEA,35.0,82,,1957,170,402,0.423,,,,116,194,0.598,259,316,575,115,31,19,98,177,456
78151,1979-80,00,1610612760,SEA,36.0,82,,1595,113,299,0.378,0,0,,89,136,0.654,204,232,436,66,25,5,83,120,315
