PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
203148,2012-13,00,1610612740,NOH,27.0,78,5,1324,213,511,0.417,59,153,0.386,70,77,0.909,17,80,97,219,37,3,71,108,555
203148,2013-14,00,1610612740,NOP,28.0,72,42,1667,244,581,0.42,64,178,0.36,125,133,0.94,17,119,136,234,43,7,95,132,677
203148,2014-15,00,1610612766,CHA,29.0,72,10,1330,176,452,0.389,62,193,0.321,66,74,0.892,13,96,109,162,33,6,57,75,480
203148,2015-16,00,1610612766,CHA,30.0,21,0,197,26,64,0.406,3,13,0.231,9,10,0.9,2,17,19,25,7,1,11,12,64
