PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
76607,1972-73,00,1610612760,SEA,23.0,12,,99,10,23,0.435,,,,14,16,0.875,,,6,16,,,,15,34
76607,1974-75,00,1610612744,GOS,25.0,67,,756,102,217,0.47,,,,70,97,0.722,61,84,145,103,40,2,,105,274
76607,1975-76,00,1610612744,GOS,26.0,82,,1456,182,345,0.528,,,,157,245,0.641,112,157,269,239,77,2,,170,521
76607,1976-77,00,1610612744,GOS,27.0,79,,1682,220,421,0.523,,,,129,203,0.635,119,177,296,347,67,6,,169,569
76607,1977-78,00,1610612744,GOS,28.0,78,,1660,127,249,0.51,,,,138,195,0.708,86,201,287,409,68,2,163,181,392
76607,1978-79,00,1610612741,CHI,29.0,43,,684,45,125,0.36,,,,28,42,0.667,25,61,86,116,32,1,64,82,118
