PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
200765,2006-07,00,1610612738,BOS,21.0,78,25,1831,188,450,0.418,6,29,0.207,119,184,0.647,74,218,292,297,128,8,137,181,501
200765,2007-08,00,1610612738,BOS,22.0,77,77,2306,351,713,0.492,5,19,0.263,107,175,0.611,78,244,322,393,129,13,147,187,814
200765,2008-09,00,1610612738,BOS,23.0,80,80,2642,383,759,0.505,15,48,0.313,172,268,0.642,100,316,416,659,149,11,209,193,953
200765,2009-10,00,1610612738,BOS,24.0,81,81,2963,459,904,0.508,17,80,0.212,175,282,0.621,100,260,360,794,189,11,246,198,1110
200765,2010-11,00,1610612738,BOS,25.0,68,68,2527,318,670,0.475,10,43,0.233,75,132,0.568,87,210,297,760,153,11,234,120,721
200765,2011-12,00,1610612738,BOS,26.0,53,53,1957,256,572,0.448,10,42,0.238,108,181,0.597,62,195,257,620,95,3,193,99,630
200765,2012-13,00,1610612738,BOS,27.0,38,38,1423,225,465,0.484,12,50,0.24,60,93,0.645,43,169,212,420,70,9,148,96,522
200765,2013-14,00,1610612738,BOS,28.0,30,30,998,141,350,0.403,26,90,0.289,42,67,0.627,22,142,164,294,40,2,99,65,350
200765,2014-15,00,1610612738,BOS,29.0,22,22,699,81,200,0.405,8,32,0.25,12,36,0.333,25,140,165,237,37,3,75,42,182
200765,2014-15,00,1610612742,DAL,29.0,46,46,1319,194,445,0.436,19,54,0.352,19,42,0.452,48,160,208,301,54,4,135,111,426
200765,2014-15,00,0,TOT,29.0,68,68,2019,275,645,0.426,27,86,0.314,31,78,0.397,73,300,373,538,91,7,210,153,608
200765,2015-16,00,1610612758,SAC,29.0,38,38,1331,188,415,0.453,27,80,0.338,43,82,0.524,44,198,242,439,71,6,148,87,446
