PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
203527,2013-14,00,1610612747,LAL,23.0,59,25,1312,157,371,0.423,48,142,0.338,110,135,0.815,42,177,219,95,32,45,47,147,472
203527,2014-15,00,1610612747,LAL,24.0,52,34,1233,104,309,0.337,45,134,0.336,79,95,0.832,13,133,146,92,30,24,37,118,332
203527,2015-16,00,1610612747,LAL,24.0,13,0,155,24,54,0.444,4,18,0.222,19,26,0.731,7,38,45,11,5,7,8,7,71
