PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
78097,1971-72,00,1610612756,PHX,25.0,6,,177,48,113,0.425,,,,17,21,0.81,,,23,26,,,,19,113
78097,1972-73,00,1610612756,PHX,26.0,81,,3062,806,1809,0.446,,,,436,556,0.784,,,342,495,,,,306,2048
78097,1973-74,00,1610612756,PHX,27.0,52,,2003,538,1171,0.459,,,,246,315,0.781,64,158,222,271,99,22,,194,1322
78097,1974-75,00,1610612756,PHX,28.0,69,,2592,703,1594,0.441,,,,274,351,0.781,72,201,273,311,111,24,,296,1680
78097,1975-76,00,1610612738,BOS,29.0,82,,2913,588,1309,0.449,,,,267,335,0.797,106,252,358,341,103,24,,356,1443
78097,1976-77,00,1610612738,BOS,30.0,43,,1581,326,734,0.444,,,,129,173,0.746,52,139,191,196,60,12,,155,781
78097,1977-78,00,1610612747,LAL,31.0,48,,1393,225,509,0.442,,,,110,142,0.775,38,110,148,235,59,11,133,155,560
78097,1977-78,00,1610612738,BOS,31.0,31,,1080,210,485,0.433,,,,84,118,0.712,24,77,101,143,51,6,105,97,504
78097,1977-78,00,0,TOT,31.0,79,,2473,435,994,0.438,,,,194,260,0.746,62,187,249,378,110,17,238,252,1064
78097,1978-79,00,1610612743,DEN,32.0,79,,2617,393,854,0.46,,,,161,215,0.749,54,156,210,428,78,30,255,284,947
78097,1979-80,00,1610612743,DEN,33.0,69,,1860,276,688,0.401,2,11,0.182,85,118,0.72,51,115,166,250,47,23,163,197,639
